week,Carly Fiorina,Jim Gilmore,Lindsey Graham,Bobby Jindal,George Pataki,Rick Perry,Rick Santorum
1,1,6,1,5,7,3,4
2,4,6,3,1,7,5,1
3,1,6,5,2,7,3,3
4,2,7,3,4,6,1,4
5,3,6,1,4,6,1,5
6,1,6,2,4,6,5,3
7,3,7,1,2,6,5,4
8,2,7,1,4,6,3,5
9,1,5,3,4,6,2,7
10,1,5,3,4,7,2,6
11,2,5,3,6,7,1,4
12,2,6,4,3,6,1,5
13,2,4,5,3,7,1,5
14,2,6,5,3,7,1,3
